x	intensity
1.307832030999999915e+03	6.667922217667216955e+01
1.306160155999999915e+03	5.472089180340327630e+01
1.304486327999999958e+03	4.725225002778444860e+01
1.302814452999999958e+03	6.109006686110469531e+01
1.301140625000000000e+03	6.848022780804188869e+01
1.299466797000000042e+03	7.142833619468780171e+01
1.297791015999999900e+03	6.920972379405040442e+01
1.296117187999999942e+03	5.386220068815877937e+01
1.294441405999999915e+03	6.920811606614034872e+01
1.292765625000000000e+03	5.092285381551251788e+01
1.291089844000000085e+03	6.394742683871842814e+01
1.289414062999999942e+03	5.868692909851195338e+01
1.287738280999999915e+03	6.309656459241361404e+01
1.286060547000000042e+03	7.693068512968228845e+01
1.284382812999999942e+03	6.565075339216235761e+01
1.282705077999999958e+03	6.354585544113402307e+01
1.281027344000000085e+03	4.778242348199769651e+01
1.279349609000000100e+03	6.262848948569404683e+01
1.277669922000000042e+03	7.825836941643399314e+01
1.275990234000000100e+03	4.355968385615051375e+01
1.274310547000000042e+03	5.293936709350792569e+01
1.272630859000000100e+03	5.716624928779290826e+01
1.270951172000000042e+03	6.183235115606061072e+01
1.269269530999999915e+03	4.300311447181693580e+01
1.267589844000000085e+03	4.850049904054118599e+01
1.265908202999999958e+03	6.849682819066610762e+01
1.264226562999999942e+03	4.484954191331986806e+01
1.262542969000000085e+03	4.247258978787324679e+01
1.260861327999999958e+03	5.743455648419522674e+01
1.259177734000000100e+03	6.989699119153372919e+01
1.257496094000000085e+03	5.987693572237509443e+01
1.255812500000000000e+03	5.818005496048355241e+01
1.254126952999999958e+03	6.313099123707733895e+01
1.252443359000000100e+03	5.138118970212271108e+01
1.250757812999999942e+03	6.776924694418295303e+01
1.249074219000000085e+03	5.573923677354597572e+01
1.247388672000000042e+03	6.118721130653784712e+01
1.245701172000000042e+03	6.773398869274939216e+01
1.244015625000000000e+03	5.796099561202260020e+01
1.242330077999999958e+03	5.725445970950899266e+01
1.240642577999999958e+03	5.429559999394454906e+01
1.238955077999999958e+03	5.202568971576383206e+01
1.237267577999999958e+03	5.907267819839377410e+01
1.235580077999999958e+03	7.386925426747581014e+01
1.233890625000000000e+03	4.772168181246247798e+01
1.232201172000000042e+03	7.473157804422098138e+01
1.230511719000000085e+03	5.997647666597480054e+01
1.228822265999999900e+03	5.805948785277777802e+01
1.227132812999999942e+03	7.227506506382060536e+01
1.225443359000000100e+03	5.951026937971081310e+01
1.223751952999999958e+03	4.670284643160809424e+01
1.222060547000000042e+03	5.838576464613768024e+01
1.220369140999999900e+03	5.495780849543443480e+01
1.218677734000000100e+03	5.228029944535275320e+01
